timestamp,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,path_count_destination,path_count_origin,path_count_transit
2023-07-01,844,53,6467,1790,0,19931,7280812
2023-07-02,843,81,6458,1793,0,20007,7281481
2023-07-03,844,81,6462,1793,0,20005,7283260
2023-07-04,843,53,6466,1788,0,19921,7271545
2023-07-05,844,81,6459,1789,0,19998,7270133
2023-07-06,845,81,6467,1795,0,21491,7848811
2023-07-07,844,81,6465,1795,0,21486,7859664
2023-07-08,845,81,6465,1798,0,21489,7870583
2023-07-09,846,81,6463,1791,0,21500,7822835
2023-07-10,819,81,6456,1793,0,20727,7768413
2023-07-11,819,81,6460,1801,0,20730,7778451
2023-07-12,818,81,6442,1785,0,20650,7764244
2023-07-13,819,52,6451,1786,0,20642,7757392
2023-07-14,819,80,6456,1789,0,20715,7752117
2023-07-15,845,81,6461,1791,0,21501,7801600
2023-07-16,845,53,6477,1791,0,21430,7804591
2023-07-17,845,82,6478,1792,0,21511,7876786
2023-07-18,846,82,6470,1816,0,21540,7816789
2023-07-19,846,82,6467,1819,0,21537,7826180
2023-07-20,846,82,6467,1816,0,21544,7822656
2023-07-21,847,82,6464,1815,0,21542,7823723
2023-07-22,847,82,6467,1813,0,21569,7836378
2023-07-23,847,82,6469,1815,0,21569,7838953
2023-07-24,846,82,6468,1815,0,21533,7841892
2023-07-25,846,82,6470,1803,0,21488,7832033
2023-07-26,846,82,6468,1803,0,21465,7838089
2023-07-27,846,82,6476,1808,0,21438,7858227
2023-07-28,848,82,6476,1804,0,21468,7870249
2023-07-29,852,82,6480,1814,0,21568,7866272
2023-07-30,852,82,6480,1816,0,21568,7873434
2023-07-31,852,82,6481,1814,0,21566,7876021
2023-08-01,830,82,6477,1812,0,20791,7490988
2023-08-02,853,82,6480,1807,0,21586,7860874
2023-08-03,854,82,6487,1806,0,21615,7868508
2023-08-04,854,82,6491,1819,0,21635,7916011
2023-08-05,856,82,6495,1818,0,21690,7857049
2023-08-06,856,82,6494,1815,0,21689,7861956
2023-08-07,856,82,6496,1817,0,21691,7865031
2023-08-08,854,82,6494,1817,0,21582,7877974
2023-08-09,856,82,6504,1821,0,21578,7873663
2023-08-10,856,82,6509,1813,0,21528,7868697
2023-08-11,846,81,6479,1823,0,21518,7891232
2023-08-12,847,81,6477,1810,0,21542,7718599
2023-08-13,849,81,6486,1825,0,21578,7895895
2023-08-14,849,81,6489,1824,0,21580,7877063
2023-08-15,834,81,6488,1821,0,21594,7887062
2023-08-16,834,81,6480,1816,0,21593,7892819
2023-08-17,829,81,6483,1819,0,21477,7876623
