timestamp,as_id,ipv4_prefix_count,ipv6_prefix_count,total_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,total_neighbor_count
2023-06-01,19653,10,17,27,505,351,519
2023-06-01,14315,20,5,25,56,43,57
2023-06-01,6453,122,22,144,621,335,631
2023-06-01,39120,48,6,54,5416,3760,5695
2023-06-01,13335,1840,1295,3135,807,246,817
2023-06-01,61568,50,33,83,3606,135,3608
2023-06-01,1299,130,18,148,2278,1570,2310
2023-06-01,3216,2087,3,2090,1929,96,1930
2023-06-01,45352,141,31,172,1649,16,1649
2023-06-01,9268,62,14,76,625,19,625
2023-06-01,38001,77,10,87,591,442,641
2023-06-01,6939,229,20,249,9540,6482,10502
2023-06-01,3561,736,7,743,125,10,126
2023-06-01,209,2433,44,2477,1062,63,1066
2023-06-01,3356,819,81,900,6451,1742,6509
2023-06-01,3257,844,41,885,1913,826,1929
2023-06-01,8289,8,0,8,173,0,173
2023-06-01,40630,4,2,6,198,125,200
2023-06-01,23367,10,8,18,368,254,380
2023-06-01,46450,63,2,65,139,89,141
2023-06-01,5645,120,4,124,315,209,318
2023-06-01,63927,29,4,33,2055,1295,2106
2023-06-01,3292,162,8,170,360,49,362
2023-06-01,55222,12,4,16,18,4,18
2023-06-01,174,3510,673,4183,6442,2245,6524
2023-06-01,40387,87,1,88,26,8,26
2023-06-01,2381,36,2,38,217,22,218
2023-06-01,5650,1887,6,1893,213,17,215
2023-06-01,7545,5720,1170,6890,329,45,334
2023-06-01,2764,309,31,340,55,5,57
2023-06-01,38803,15,0,15,2,0,2
2023-06-01,4764,379,4,383,173,26,176
2023-06-01,1221,325,3,328,249,61,254
2023-06-01,2519,190,2,192,73,49,77
2023-06-01,2914,246,9,255,1474,898,1510
2023-06-01,2497,173,8,181,197,112,198
2023-06-01,11164,5,3,8,151,41,152
2023-06-01,9304,468,13,481,219,65,228
2023-06-01,141750,0,0,0,5,0,5
2023-06-01,141748,6,0,6,1,0,1
2023-06-01,9498,2983,74,3057,967,314,984
2023-06-01,15412,33,1,34,69,25,71
2023-06-01,1239,817,32,849,446,58,452
2023-06-01,4657,199,78,277,251,50,258
2023-06-01,7670,18,1,19,29,12,30
2023-06-01,18144,22,1,23,1,1,1
2023-06-01,37468,13,3,16,922,98,926
2023-06-01,30600,77,2,79,69,31,69
2023-06-01,7473,42,8,50,294,136,303
2023-06-01,2516,516,9,525,194,96,200
2023-06-01,4637,542,14,556,473,199,489
2023-06-01,38040,27,4,31,35,16,36
2023-06-01,23969,1926,7,1933,14,4,14
2023-06-01,9002,37,1,38,1065,563,1223
2023-06-01,58453,65,7,72,125,53,136
2023-06-01,4651,35,1,36,65,38,69
2023-06-01,4837,900,462,1362,100,45,102
2023-06-01,138421,236,29,265,4,2,4
2023-06-01,6461,204,14,218,2336,614,2365
2023-06-01,10099,63,3,66,69,8,70
2023-06-01,5511,104,8,112,240,126,252
2023-06-01,4766,2321,152,2473,496,34,507
2023-06-01,21859,1132,123,1255,153,81,161
2023-06-01,24151,53,35,88,8,8,8
2023-06-01,4808,1530,916,2446,93,23,94
2023-06-01,3491,449,21,470,638,255,646
2023-06-01,4134,705,605,1310,167,119,175
2023-06-01,58461,311,21,332,6,4,7
2023-06-01,37963,568,112,680,15,12,16
2023-06-01,24406,16,7,23,6,3,7
2023-06-01,9737,1,0,1,1,0,1
2023-06-01,17676,752,3,755,188,81,189
2023-06-01,4725,168,1,169,15,4,16
2023-06-01,1828,289,47,336,115,53,120
2023-06-01,9583,1772,32,1804,174,58,179
2023-06-01,4755,2186,8,2194,749,180,762
2023-06-01,23473,549,34,583,280,12,280
2023-06-01,1273,175,1,176,242,78,245
2023-06-01,64049,7,0,7,24,16,28
2023-06-01,55836,287,228,515,128,41,128
2023-06-01,132215,153,10,163,72,29,72
2023-06-01,64764,1,0,1,1,0,1
2023-06-01,137130,8,1,9,2,1,2
