Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
Mean,1.855662472242783,1.9022727272727273,1.9323175053153792,2.1398702235039653,2.6575559069347188
Median,1.0,1.0,2.0,2.0,2.0
Std Dev,1.3858689431082962,1.6893055866497155,1.3965664894364884,1.6336259956550092,2.5787574095737997

AS_ID,ipv4_neighbor_count,ipv6_neighbor_count,ipv4_prefix_count,ipv6_prefix_count,Total_Changes
19653,5.0,7.0,,,12.0
39120,11.0,11.0,,,22.0
13335,4.0,4.0,5.0,9.0,22.0
61568,11.0,1.0,,,12.0
1299,5.0,2.0,,,7.0
3216,10.0,,10.0,,20.0
45352,7.0,,,,7.0
9268,8.0,,,,8.0
38001,3.0,6.0,,,9.0
6939,9.0,9.0,,,18.0
209,7.0,4.0,2.0,,13.0
3356,10.0,9.0,1.0,,20.0
3257,6.0,8.0,1.0,,15.0
63927,8.0,8.0,,,16.0
174,10.0,8.0,3.0,3.0,24.0
7545,2.0,,4.0,11.0,17.0
4764,7.0,,,,7.0
9498,8.0,10.0,1.0,,19.0
1239,7.0,7.0,,2.0,16.0
4657,2.0,2.0,,,4.0
37468,9.0,1.0,,,10.0
7473,4.0,2.0,,,6.0
4637,6.0,5.0,,,11.0
23969,1.0,1.0,,,2.0
9002,9.0,6.0,,,15.0
4651,1.0,2.0,1.0,,4.0
6461,8.0,4.0,1.0,,13.0
5511,6.0,4.0,,,10.0
4766,5.0,,,,5.0
4725,2.0,,,,2.0
1828,6.0,1.0,,,7.0
4755,8.0,6.0,2.0,,16.0
64049,3.0,6.0,,,9.0
55836,8.0,2.0,,,10.0
132215,2.0,3.0,,,5.0
6762,9.0,9.0,,,18.0
3320,10.0,6.0,2.0,,18.0
57463,3.0,5.0,,,8.0
41095,8.0,8.0,,1.0,17.0
701,8.0,6.0,,,14.0
16735,10.0,8.0,,,18.0
33891,1.0,5.0,,,6.0
55410,3.0,1.0,2.0,,6.0
18881,5.0,,,,5.0
12956,11.0,4.0,,,15.0
4809,5.0,2.0,,1.0,8.0
23764,5.0,1.0,,,6.0
6079,4.0,8.0,,,12.0
4635,6.0,3.0,,,9.0
29838,3.0,,,,3.0
59360,1.0,,,,1.0
137409,2.0,4.0,1.0,1.0,8.0
136907,2.0,1.0,1.0,,4.0
12975,4.0,,,,4.0
15169,4.0,2.0,6.0,,12.0
140951,1.0,,,,1.0
12874,3.0,3.0,,,6.0
34984,1.0,3.0,,,4.0
11280,9.0,,,,9.0
8697,2.0,2.0,,,4.0
32787,3.0,1.0,,,4.0
30844,3.0,,,,3.0
7713,7.0,2.0,,,9.0
52320,10.0,7.0,1.0,,18.0
