Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
Mean,2.7847479947324314,2.3669630642954855,3.0908580728435937,3.6376776387708003,4.905139013071061
Median,2.0,1.0,2.0,2.0,3.0
Std Dev,3.284902786080603,2.8542690974648326,3.1648668777380267,3.4743995082897063,6.327202731881978

AS_ID,ipv4_neighbor_count,ipv6_neighbor_count,ipv4_prefix_count,ipv6_prefix_count,Total_Changes
19653,21.0,19.0,,,40.0
6453,24.0,24.0,8.0,4.0,60.0
39120,29.0,29.0,1.0,,59.0
13335,24.0,19.0,23.0,23.0,89.0
61568,29.0,19.0,2.0,1.0,51.0
1299,26.0,24.0,4.0,,54.0
3216,25.0,16.0,28.0,,69.0
45352,26.0,4.0,1.0,1.0,32.0
9268,28.0,4.0,,2.0,34.0
38001,26.0,21.0,,,47.0
6939,28.0,29.0,5.0,1.0,63.0
3561,7.0,,6.0,,13.0
209,23.0,17.0,14.0,1.0,55.0
3356,27.0,28.0,14.0,7.0,76.0
3257,24.0,26.0,11.0,1.0,62.0
40630,16.0,17.0,,,33.0
63927,27.0,25.0,6.0,,58.0
174,28.0,23.0,22.0,6.0,79.0
5650,21.0,10.0,6.0,3.0,40.0
7545,15.0,9.0,20.0,28.0,72.0
4764,24.0,6.0,10.0,,40.0
2914,23.0,23.0,3.0,,49.0
2497,5.0,10.0,1.0,,16.0
11164,2.0,4.0,,,6.0
9498,27.0,24.0,18.0,,69.0
15412,11.0,14.0,,,25.0
1239,22.0,19.0,17.0,3.0,61.0
4657,26.0,9.0,1.0,2.0,38.0
37468,28.0,21.0,2.0,,51.0
30600,13.0,7.0,1.0,,21.0
2516,9.0,8.0,,,17.0
4637,25.0,23.0,6.0,3.0,57.0
23969,2.0,1.0,10.0,,13.0
9002,25.0,24.0,1.0,,50.0
4651,12.0,9.0,3.0,,24.0
4837,6.0,1.0,7.0,2.0,16.0
6461,23.0,23.0,12.0,,58.0
5511,22.0,21.0,1.0,,44.0
4766,11.0,10.0,7.0,2.0,30.0
21859,8.0,12.0,23.0,6.0,49.0
3491,23.0,20.0,3.0,,46.0
17676,8.0,8.0,1.0,,17.0
1828,20.0,10.0,4.0,,34.0
9583,23.0,16.0,2.0,1.0,42.0
4755,23.0,18.0,14.0,,55.0
23473,24.0,1.0,9.0,,34.0
1273,21.0,14.0,3.0,,38.0
64049,10.0,12.0,,,22.0
132215,21.0,16.0,4.0,,41.0
6762,24.0,26.0,1.0,1.0,52.0
3320,27.0,18.0,17.0,1.0,63.0
57463,17.0,20.0,,,37.0
7497,4.0,,9.0,3.0,16.0
4788,16.0,10.0,3.0,,29.0
41095,28.0,26.0,5.0,1.0,60.0
9318,8.0,3.0,1.0,,12.0
701,24.0,16.0,2.0,4.0,46.0
132203,10.0,4.0,6.0,1.0,21.0
1237,2.0,,2.0,,4.0
22548,14.0,4.0,,,18.0
33891,14.0,27.0,,,41.0
20562,15.0,16.0,,,31.0
13237,13.0,20.0,1.0,,34.0
24785,11.0,17.0,,,28.0
55410,22.0,13.0,9.0,,44.0
9730,22.0,12.0,,,34.0
18881,27.0,8.0,8.0,1.0,44.0
12956,24.0,19.0,3.0,6.0,52.0
4809,16.0,12.0,4.0,4.0,36.0
23764,19.0,14.0,,1.0,34.0
3223,21.0,6.0,5.0,3.0,35.0
3462,5.0,6.0,13.0,,24.0
4635,22.0,22.0,,,44.0
4775,22.0,8.0,3.0,,33.0
29838,9.0,3.0,5.0,1.0,18.0
3549,26.0,20.0,12.0,3.0,61.0
4538,1.0,2.0,12.0,1.0,16.0
24490,9.0,,,,9.0
18403,14.0,17.0,20.0,13.0,64.0
59360,10.0,,,,10.0
9808,1.0,1.0,16.0,10.0,28.0
4826,16.0,10.0,6.0,1.0,33.0
137409,17.0,17.0,2.0,5.0,41.0
136907,18.0,7.0,24.0,,49.0
7303,16.0,7.0,3.0,,26.0
6663,9.0,5.0,,,14.0
12975,7.0,,20.0,,27.0
12479,6.0,5.0,21.0,6.0,38.0
15169,13.0,5.0,8.0,,26.0
45769,8.0,8.0,1.0,,17.0
9505,7.0,16.0,,,23.0
140951,8.0,3.0,,,11.0
20940,8.0,14.0,21.0,12.0,55.0
16625,1.0,,21.0,,22.0
12874,15.0,15.0,1.0,,31.0
12389,25.0,16.0,3.0,2.0,46.0
8220,24.0,19.0,4.0,1.0,48.0
3741,8.0,3.0,,,11.0
37662,19.0,19.0,2.0,,40.0
12735,11.0,5.0,5.0,6.0,27.0
15830,16.0,12.0,6.0,3.0,37.0
34984,10.0,12.0,12.0,1.0,35.0
16735,20.0,22.0,1.0,4.0,47.0
11280,16.0,,,,16.0
5713,8.0,8.0,5.0,,21.0
37271,16.0,19.0,,,35.0
32787,24.0,6.0,3.0,1.0,34.0
15924,9.0,2.0,3.0,,14.0
9121,11.0,9.0,4.0,2.0,26.0
327724,3.0,,,,3.0
30844,21.0,9.0,4.0,4.0,38.0
52320,22.0,13.0,3.0,,38.0
719,6.0,4.0,1.0,,11.0
34224,12.0,5.0,2.0,,19.0
262589,20.0,20.0,18.0,3.0,61.0
1031,18.0,18.0,,,36.0
5580,1.0,11.0,,,12.0
20485,26.0,14.0,,,40.0
26615,20.0,18.0,13.0,9.0,60.0
12552,12.0,9.0,2.0,,23.0
31027,10.0,14.0,3.0,1.0,28.0
852,8.0,8.0,5.0,1.0,22.0
15502,2.0,,3.0,,5.0
12400,9.0,6.0,13.0,,28.0
24955,4.0,,,,4.0
31133,25.0,17.0,5.0,1.0,48.0
10429,24.0,26.0,4.0,6.0,60.0
50673,13.0,23.0,1.0,,37.0
57344,15.0,10.0,,,25.0
9009,11.0,12.0,21.0,9.0,53.0
11404,12.0,7.0,2.0,2.0,23.0
208293,11.0,4.0,1.0,,16.0
203217,6.0,1.0,6.0,,13.0
34465,13.0,14.0,1.0,5.0,33.0
213035,11.0,6.0,6.0,1.0,24.0
396998,18.0,6.0,1.0,1.0,26.0
43260,4.0,1.0,26.0,1.0,32.0
199366,2.0,,,,2.0
62081,25.0,9.0,,,34.0
31216,6.0,2.0,,,8.0
57724,16.0,2.0,,,18.0
29076,15.0,13.0,,,28.0
6661,9.0,5.0,2.0,,16.0
35913,1.0,2.0,19.0,10.0,32.0
41327,14.0,13.0,2.0,,29.0
35320,12.0,6.0,,,18.0
40676,12.0,18.0,15.0,20.0,65.0
20764,24.0,17.0,,,41.0
8100,12.0,7.0,21.0,9.0,49.0
395092,2.0,,3.0,1.0,6.0
6830,24.0,22.0,6.0,1.0,53.0
43100,13.0,11.0,,,24.0
12453,3.0,4.0,,,7.0
42831,6.0,2.0,11.0,,19.0
212477,12.0,,3.0,2.0,17.0
8315,1.0,6.0,12.0,,19.0
11855,4.0,1.0,,,5.0
62240,9.0,14.0,5.0,2.0,30.0
5400,17.0,14.0,1.0,,32.0
2856,8.0,7.0,9.0,1.0,25.0
8218,14.0,13.0,1.0,,28.0
29396,6.0,7.0,1.0,,14.0
8455,13.0,8.0,2.0,,23.0
199524,15.0,13.0,6.0,2.0,36.0
12859,2.0,10.0,,,12.0
47787,6.0,5.0,2.0,2.0,15.0
203020,2.0,,6.0,1.0,9.0
203440,3.0,,,,3.0
41692,6.0,7.0,,,13.0
49392,2.0,,13.0,,15.0
35598,21.0,9.0,,1.0,31.0
39238,5.0,2.0,,,7.0
23520,8.0,5.0,1.0,,14.0
55081,4.0,1.0,2.0,,7.0
136787,2.0,,12.0,,14.0
54825,12.0,5.0,1.0,,18.0
834,3.0,,29.0,,32.0
40065,5.0,,16.0,,21.0
29119,10.0,16.0,13.0,,39.0
20804,10.0,11.0,5.0,1.0,27.0
16509,15.0,13.0,29.0,29.0,86.0
61317,9.0,5.0,24.0,3.0,41.0
35297,21.0,5.0,,,26.0
47914,1.0,1.0,,,2.0
35280,14.0,9.0,1.0,,24.0
42455,3.0,,,,3.0
8359,20.0,15.0,7.0,2.0,44.0
47583,2.0,3.0,7.0,4.0,16.0
702,13.0,3.0,1.0,,17.0
60299,5.0,,,,5.0
60171,19.0,8.0,2.0,,29.0
9050,16.0,7.0,1.0,,24.0
29535,19.0,7.0,,,26.0
12912,22.0,8.0,5.0,,35.0
3255,16.0,6.0,,,22.0
201053,18.0,,,,18.0
35805,8.0,8.0,3.0,,19.0
8551,16.0,8.0,18.0,3.0,45.0
12578,6.0,4.0,5.0,,15.0
8764,13.0,10.0,3.0,5.0,31.0
207459,4.0,,17.0,,21.0
1257,8.0,7.0,5.0,2.0,22.0
34927,16.0,27.0,1.0,1.0,45.0
20473,25.0,21.0,21.0,29.0,96.0
49434,6.0,9.0,2.0,,17.0
24651,2.0,,,,2.0
2119,8.0,18.0,,,26.0
5391,3.0,2.0,,,5.0
49981,4.0,10.0,13.0,,27.0
34549,7.0,18.0,1.0,,26.0
23352,6.0,3.0,,,9.0
50340,5.0,5.0,3.0,,13.0
23470,13.0,2.0,10.0,7.0,32.0
63023,3.0,1.0,9.0,1.0,14.0
50509,21.0,5.0,,,26.0
9049,26.0,16.0,1.0,,43.0
56630,12.0,13.0,,,25.0
31500,23.0,9.0,3.0,,35.0
8881,16.0,12.0,9.0,2.0,39.0
12843,1.0,7.0,1.0,5.0,14.0
8560,5.0,11.0,2.0,,18.0
8075,12.0,8.0,19.0,3.0,42.0
58299,3.0,19.0,,6.0,28.0
49581,5.0,4.0,7.0,8.0,24.0
1680,17.0,6.0,,,23.0
210218,1.0,,1.0,,2.0
38930,5.0,4.0,1.0,,10.0
21473,1.0,1.0,,,2.0
3170,4.0,5.0,1.0,,10.0
1820,16.0,9.0,1.0,,26.0
3269,17.0,5.0,29.0,,51.0
35179,6.0,4.0,2.0,,12.0
4779,21.0,2.0,,,23.0
9299,19.0,10.0,2.0,,31.0
135607,18.0,18.0,1.0,,37.0
13127,4.0,,4.0,,8.0
12189,2.0,1.0,,3.0,6.0
24724,9.0,12.0,,,21.0
39326,5.0,5.0,,,10.0
30742,7.0,,,,7.0
44066,3.0,7.0,1.0,,11.0
29226,14.0,2.0,4.0,,20.0
12722,8.0,,3.0,,11.0
8376,2.0,,27.0,6.0,35.0
136557,9.0,7.0,2.0,,18.0
15557,11.0,5.0,6.0,,22.0
19324,10.0,,,,10.0
8368,3.0,10.0,1.0,1.0,15.0
5398,5.0,10.0,,,15.0
16347,7.0,12.0,1.0,4.0,24.0
52925,12.0,10.0,7.0,,29.0
134578,9.0,,,,9.0
200845,8.0,,24.0,,32.0
196695,12.0,,3.0,,15.0
207279,2.0,,15.0,,17.0
9198,2.0,2.0,9.0,,13.0
12713,8.0,7.0,,,15.0
39386,7.0,8.0,1.0,,16.0
8402,1.0,,27.0,,28.0
13285,4.0,,,,4.0
5607,3.0,2.0,1.0,1.0,7.0
209141,3.0,1.0,,,4.0
3352,13.0,,6.0,1.0,20.0
42337,22.0,2.0,13.0,,37.0
6805,2.0,6.0,,,8.0
3301,5.0,8.0,3.0,1.0,17.0
10490,6.0,3.0,4.0,,13.0
7018,26.0,16.0,21.0,2.0,65.0
6866,7.0,8.0,,7.0,22.0
212567,1.0,7.0,,,8.0
50629,5.0,16.0,,,21.0
6128,3.0,,,,3.0
54004,16.0,2.0,3.0,2.0,23.0
5563,7.0,,2.0,,9.0
201706,15.0,4.0,,,19.0
56534,10.0,2.0,2.0,,14.0
133296,10.0,9.0,,,19.0
35277,1.0,4.0,,5.0,10.0
51219,5.0,,,,5.0
8641,8.0,7.0,1.0,,16.0
7155,8.0,1.0,15.0,1.0,25.0
29286,3.0,4.0,15.0,1.0,23.0
24940,4.0,8.0,2.0,,14.0
60610,2.0,1.0,,,3.0
198967,4.0,8.0,1.0,5.0,18.0
36351,5.0,9.0,4.0,,18.0
51088,8.0,5.0,,,13.0
207701,5.0,5.0,,,10.0
50010,4.0,4.0,5.0,,13.0
51043,2.0,1.0,,,3.0
39392,2.0,2.0,,,4.0
5578,4.0,6.0,,,10.0
31042,7.0,7.0,,,14.0
3302,4.0,3.0,1.0,,8.0
5610,2.0,1.0,,,3.0
13193,2.0,,,,2.0
5410,4.0,,,,4.0
12844,5.0,,2.0,,7.0
8636,9.0,3.0,,,12.0
58002,5.0,4.0,,,9.0
139628,8.0,,,,8.0
55329,10.0,4.0,,,14.0
38082,12.0,13.0,,,25.0
42010,2.0,,1.0,,3.0
20860,7.0,2.0,,,9.0
12849,8.0,,13.0,,21.0
15802,6.0,12.0,,1.0,19.0
13009,2.0,4.0,1.0,,7.0
34772,7.0,6.0,,,13.0
8447,15.0,19.0,,,34.0
8529,6.0,6.0,,,12.0
35168,3.0,1.0,1.0,,5.0
20810,2.0,6.0,,4.0,12.0
13030,11.0,23.0,,2.0,36.0
56694,9.0,1.0,3.0,,13.0
8681,2.0,4.0,1.0,,7.0
5483,8.0,1.0,2.0,,11.0
12741,18.0,7.0,2.0,4.0,31.0
198792,7.0,,,,7.0
48173,9.0,5.0,,,14.0
28968,7.0,1.0,,,8.0
59796,19.0,,,,19.0
25369,12.0,18.0,6.0,,36.0
35000,8.0,3.0,,,11.0
200780,5.0,10.0,,1.0,16.0
48642,5.0,2.0,1.0,,8.0
207713,1.0,3.0,13.0,2.0,19.0
197155,1.0,4.0,,,5.0
30781,8.0,23.0,,,31.0
50928,1.0,,,,1.0
3327,8.0,7.0,,,15.0
24961,4.0,19.0,3.0,1.0,27.0
