Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
Mean,2.1027522935779817,1.8470490440565253,2.16690668202765,2.251552795031056,3.0660557464681175
Median,1.5,1.0,2.0,2.0,2.0
Std Dev,1.8700089259415829,1.6157134554550308,1.7464003906824532,1.743739879047359,3.233096883498135

AS_ID,ipv4_neighbor_count,ipv6_neighbor_count,ipv4_prefix_count,ipv6_prefix_count,Total_Changes
19653,5.0,3.0,,,8.0
6453,9.0,10.0,2.0,2.0,23.0
39120,11.0,13.0,,,24.0
13335,9.0,3.0,7.0,11.0,30.0
61568,13.0,7.0,,,20.0
1299,12.0,7.0,1.0,,20.0
3216,11.0,3.0,13.0,,27.0
9268,10.0,,,,10.0
38001,9.0,7.0,,,16.0
6939,13.0,12.0,1.0,,26.0
209,8.0,3.0,7.0,,18.0
3356,13.0,12.0,5.0,,30.0
3257,12.0,10.0,2.0,,24.0
40630,4.0,7.0,,,11.0
63927,12.0,12.0,1.0,,25.0
55222,4.0,,,,4.0
174,12.0,13.0,7.0,2.0,34.0
7545,6.0,2.0,6.0,13.0,27.0
4764,13.0,,5.0,,18.0
2914,9.0,9.0,2.0,,20.0
9304,9.0,,1.0,,10.0
9498,12.0,9.0,5.0,,26.0
1239,10.0,8.0,1.0,1.0,20.0
4657,9.0,,,,9.0
37468,13.0,3.0,,,16.0
2516,3.0,2.0,,,5.0
4637,11.0,12.0,1.0,,24.0
23969,1.0,1.0,5.0,,7.0
9002,10.0,13.0,,,23.0
4651,5.0,3.0,1.0,,9.0
4837,3.0,,5.0,,8.0
6461,10.0,9.0,5.0,,24.0
5511,8.0,8.0,1.0,,17.0
21859,2.0,3.0,10.0,,15.0
3491,8.0,5.0,1.0,,14.0
4134,4.0,7.0,1.0,,12.0
17676,3.0,5.0,1.0,,9.0
1828,10.0,6.0,2.0,,18.0
9583,8.0,7.0,1.0,,16.0
4755,10.0,6.0,4.0,,20.0
23473,8.0,,1.0,,9.0
64049,2.0,4.0,,,6.0
55836,9.0,6.0,,,15.0
132215,10.0,7.0,,,17.0
6762,8.0,8.0,1.0,1.0,18.0
3320,10.0,9.0,6.0,,25.0
57463,6.0,10.0,,,16.0
4788,6.0,3.0,,,9.0
41095,12.0,13.0,,1.0,26.0
701,12.0,5.0,2.0,,19.0
