Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
Mean,3.3415965430975665,2.5982007575757575,4.308143405889885,4.449416885218459,7.437929623567921
Median,2.0,1.0,3.0,3.0,4.0
Std Dev,3.567845632533319,2.9067680804934115,3.910229534679279,4.130477940112115,8.996287891115918

AS_ID,ipv4_neighbor_count,ipv6_neighbor_count,ipv6_prefix_count,ipv4_prefix_count,Total_Changes
19653,21.0,21.0,2.0,2.0,46.0
14315,18.0,16.0,3.0,14.0,51.0
6453,19.0,19.0,7.0,13.0,58.0
61568,23.0,17.0,10.0,3.0,53.0
13335,21.0,21.0,23.0,21.0,86.0
39120,23.0,23.0,2.0,12.0,60.0
207740,3.0,14.0,3.0,1.0,21.0
38001,21.0,23.0,,6.0,50.0
6939,22.0,23.0,5.0,21.0,71.0
9268,23.0,21.0,7.0,4.0,55.0
3216,21.0,22.0,,23.0,66.0
45352,21.0,7.0,1.0,8.0,37.0
3280,8.0,6.0,10.0,11.0,35.0
50058,17.0,16.0,10.0,8.0,51.0
3257,22.0,23.0,5.0,22.0,72.0
3561,17.0,1.0,1.0,16.0,35.0
209,23.0,18.0,10.0,22.0,73.0
3356,22.0,23.0,17.0,21.0,83.0
55222,17.0,7.0,,3.0,27.0
40630,21.0,19.0,4.0,5.0,49.0
23367,19.0,19.0,3.0,2.0,43.0
3292,17.0,17.0,2.0,7.0,43.0
5645,21.0,18.0,,,39.0
40387,5.0,6.0,,4.0,15.0
2381,19.0,11.0,,6.0,36.0
46450,20.0,14.0,,15.0,49.0
5650,22.0,11.0,1.0,11.0,45.0
7545,19.0,11.0,22.0,23.0,75.0
2764,19.0,10.0,9.0,13.0,51.0
174,23.0,23.0,21.0,23.0,90.0
1299,23.0,23.0,5.0,18.0,69.0
63927,22.0,23.0,1.0,13.0,59.0
2519,16.0,17.0,,9.0,42.0
2914,23.0,23.0,2.0,21.0,69.0
39737,22.0,19.0,1.0,2.0,44.0
2497,21.0,16.0,,7.0,44.0
7473,21.0,19.0,2.0,3.0,45.0
11164,20.0,18.0,2.0,,40.0
6762,20.0,22.0,2.0,10.0,54.0
9304,19.0,19.0,5.0,18.0,61.0
4657,21.0,19.0,8.0,12.0,60.0
15412,20.0,15.0,,2.0,37.0
4637,22.0,21.0,3.0,17.0,63.0
37468,23.0,20.0,,2.0,45.0
7670,7.0,8.0,,,15.0
2516,15.0,15.0,3.0,5.0,38.0
30600,18.0,11.0,1.0,16.0,46.0
398447,11.0,16.0,,,27.0
38040,14.0,18.0,3.0,3.0,38.0
23969,9.0,3.0,,18.0,30.0
9002,23.0,23.0,,4.0,50.0
58453,18.0,18.0,1.0,8.0,45.0
4651,20.0,15.0,,7.0,42.0
4837,18.0,12.0,9.0,19.0,58.0
5511,19.0,23.0,2.0,11.0,55.0
6461,23.0,21.0,6.0,16.0,66.0
10099,21.0,10.0,6.0,10.0,47.0
1273,19.0,16.0,,12.0,47.0
4766,18.0,19.0,9.0,20.0,66.0
3491,20.0,20.0,7.0,20.0,67.0
4635,23.0,22.0,,,45.0
1239,21.0,18.0,13.0,22.0,74.0
23473,19.0,6.0,8.0,20.0,53.0
21859,19.0,22.0,17.0,21.0,79.0
24151,8.0,3.0,4.0,7.0,22.0
4808,13.0,7.0,11.0,21.0,52.0
4229,17.0,14.0,,1.0,32.0
4134,18.0,16.0,2.0,8.0,44.0
17676,20.0,17.0,,11.0,48.0
4725,5.0,2.0,,,7.0
1828,21.0,15.0,3.0,14.0,53.0
9583,16.0,20.0,8.0,19.0,63.0
4755,22.0,18.0,6.0,20.0,66.0
23764,21.0,18.0,8.0,12.0,59.0
64049,16.0,12.0,,1.0,29.0
55836,17.0,17.0,10.0,18.0,62.0
132215,17.0,15.0,2.0,15.0,49.0
65000,14.0,1.0,1.0,12.0,28.0
137130,2.0,,,3.0,5.0
3320,21.0,23.0,9.0,22.0,75.0
9498,23.0,23.0,6.0,22.0,74.0
55410,20.0,19.0,2.0,19.0,60.0
396421,6.0,,,2.0,8.0
7497,9.0,2.0,3.0,10.0,24.0
4788,20.0,17.0,2.0,8.0,47.0
9885,12.0,6.0,,,18.0
11537,13.0,12.0,,8.0,33.0
3786,22.0,4.0,3.0,15.0,44.0
41095,23.0,23.0,4.0,14.0,64.0
9318,21.0,12.0,1.0,9.0,43.0
701,22.0,19.0,6.0,18.0,65.0
136958,2.0,3.0,,17.0,22.0
132203,19.0,15.0,8.0,19.0,61.0
38283,2.0,,2.0,20.0,24.0
9808,9.0,10.0,23.0,23.0,65.0
9957,12.0,9.0,,4.0,25.0
9286,11.0,3.0,,10.0,24.0
1237,6.0,1.0,,7.0,14.0
32097,17.0,20.0,,7.0,44.0
23855,14.0,13.0,,,27.0
134148,8.0,7.0,,,15.0
17579,10.0,2.0,2.0,5.0,19.0
4847,10.0,9.0,1.0,22.0,42.0
21700,21.0,21.0,1.0,19.0,62.0
22548,14.0,12.0,,,26.0
8763,7.0,13.0,,,20.0
13237,22.0,21.0,4.0,5.0,52.0
33891,17.0,23.0,,,40.0
5539,9.0,12.0,,,21.0
20562,21.0,18.0,,,39.0
21385,14.0,13.0,,1.0,28.0
24785,20.0,20.0,,,40.0
45528,10.0,2.0,9.0,19.0,40.0
57463,18.0,18.0,,2.0,38.0
9730,21.0,18.0,2.0,11.0,52.0
9929,6.0,5.0,6.0,6.0,23.0
64050,19.0,5.0,5.0,18.0,47.0
2514,6.0,3.0,,1.0,10.0
3462,13.0,16.0,1.0,22.0,52.0
9680,7.0,5.0,,,12.0
6079,19.0,19.0,2.0,16.0,56.0
4775,21.0,17.0,5.0,14.0,57.0
29838,13.0,10.0,4.0,13.0,40.0
3549,23.0,19.0,13.0,21.0,76.0
38266,2.0,3.0,22.0,20.0,47.0
55644,18.0,10.0,4.0,11.0,43.0
7474,20.0,17.0,4.0,17.0,58.0
10089,7.0,13.0,,,20.0
4809,21.0,18.0,8.0,13.0,60.0
4538,5.0,9.0,2.0,19.0,35.0
18403,20.0,20.0,21.0,22.0,83.0
9605,7.0,9.0,2.0,6.0,24.0
56048,13.0,9.0,1.0,7.0,30.0
1221,20.0,20.0,,15.0,55.0
4826,22.0,15.0,2.0,17.0,56.0
9723,13.0,6.0,,1.0,20.0
136907,15.0,19.0,8.0,21.0,63.0
7303,20.0,13.0,2.0,10.0,45.0
6663,22.0,18.0,,2.0,42.0
12975,9.0,8.0,,19.0,36.0
12479,20.0,13.0,18.0,23.0,74.0
15169,19.0,14.0,2.0,19.0,54.0
396982,1.0,,13.0,23.0,37.0
45769,12.0,11.0,1.0,14.0,38.0
9505,14.0,9.0,,4.0,27.0
