AS_ID,Volatility,MAPE
24748,1.2391,183820392953898.22
7713,1.1439,0.01645939616064401
57916,0.6865,0.2169312986306138
30848,0.3542,0.033549595121534256
30764,0.2732,0.03915925381227384
3356,0.241,0.05441928118566741
51395,0.2349,0.007769649786571557
52468,0.2015,0.04866637934539941
174,0.1966,0.02718180453724681
3188,0.1914,0.035253083093688596
134578,0.1888,0.015410110903003326
20473,0.1377,0.0287962029155508
59445,0.1256,0.004603565564156697
8274,0.1224,0.06026332237984362
262589,0.1165,0.030923501848565717
198887,0.1058,0.0037986154057582625
34757,0.0987,0.06275753878037389
43207,0.0956,0.024592800647023547
18403,0.0815,0.017733014839242885
13335,0.0513,0.010045551129337518
198608,0.0199,0.0011054832035061238
